name,constellation,magnitude,ra,dec
HIP 1083,Cygnus,2.87,0.65075,-40.89669
HIP 1084,Lyra,3.24,9.38554,-19.3151
HIP 1085,Lyra,5.39,7.96827,25.72108
HIP 1086,Andromeda,3.83,1.16281,45.29171
HIP 1087,Orion,6.49,21.59754,-28.99187
HIP 1088,Cygnus,4.69,9.84544,78.24263
HIP 1089,Andromeda,1.48,3.2297,-41.56886
HIP 1090,Andromeda,6.01,14.62765,-49.38183
HIP 1091,Andromeda,4.71,8.91021,33.85929
HIP 1092,Cassiopeia,7.2,13.53769,3.6636
HIP 1093,Andromeda,4.64,22.98288,-69.50584
HIP 1094,Taurus,4.13,19.50757,-33.49549
HIP 1095,Cassiopeia,3.53,2.02997,-59.02541
HIP 1096,Aquarius,4.1,9.7388,-75.45862
HIP 1097,Scorpius,1.03,22.07223,-86.06012
HIP 1098,Draco,3.46,5.99917,78.18545
HIP 1099,Cassiopeia,7.31,22.12807,-10.09994
HIP 1100,Lyra,4.15,19.16686,86.60387
HIP 1101,Draco,7.8,2.5974,-28.96682
HIP 1102,Pegasus,7,23.19798,60.75521
HIP 1103,Taurus,3.17,9.60844,14.05134
HIP 1104,Ursa Major,5.97,16.02833,51.58708
HIP 1105,Cygnus,2.78,14.54988,-40.00388
HIP 1106,Draco,4.06,12.6884,33.04138
HIP 1107,Ursa Major,7.16,18.04918,-49.25414
HIP 1108,Lyra,3.92,18.2546,88.13838
HIP 1109,Cygnus,7.35,11.52504,37.97934
HIP 1110,Draco,1.1,19.53288,41.56859
HIP 1111,Andromeda,4.23,20.00145,-39.07383
HIP 1112,Taurus,5.77,10.41985,32.6048
HIP 1113,Leo,5.68,10.82698,-27.41032
HIP 1114,Taurus,3.26,16.77291,86.39996
HIP 1115,Taurus,5.68,2.08108,-74.71611
HIP 1116,Orion,4.06,10.001,-66.57754
HIP 1117,Orion,5.43,18.07924,89.04276
HIP 1118,Lyra,3.54,5.31118,-37.82962
HIP 1119,Andromeda,3.7,17.29327,-42.06434
HIP 1120,Cygnus,4.27,16.8334,-81.67398
HIP 1121,Orion,3.12,3.07941,5.60828
HIP 1122,Cassiopeia,2.69,21.06757,-35.627
HIP 1123,Aquarius,3.7,12.42113,86.45612
HIP 1124,Ursa Major,2.75,3.12661,78.80875
HIP 1125,Lyra,6.2,22.28307,-44.11535
HIP 1126,Leo,3.3,3.1179,36.76846
HIP 1127,Scorpius,4.84,9.42883,-59.64937
HIP 1128,Cygnus,6.38,2.35959,33.21821
HIP 1129,Lyra,6.79,10.8565,27.15701
HIP 1130,Scorpius,7.61,18.52804,69.92311
HIP 1131,Cygnus,1.46,16.39148,42.3188
HIP 1132,Orion,6.91,14.10515,-55.36936
HIP 1133,Draco,6.61,23.98238,-62.0208
HIP 1134,Andromeda,3.39,7.33258,27.21179
HIP 1135,Pegasus,7.69,13.22967,-26.79326
HIP 1136,Taurus,6.52,9.18688,71.47291
HIP 1137,Ursa Major,7.76,8.32757,-74.89084
HIP 1138,Scorpius,2.84,2.06063,85.61222
HIP 1139,Cygnus,6.57,3.58856,0.12412
HIP 1140,Andromeda,5.78,10.1719,-11.63601
HIP 1141,Orion,3.91,3.9938,-73.63052
HIP 1142,Lyra,2.83,21.7368,-51.96455
HIP 1143,Scorpius,4.37,4.46218,-40.81891
HIP 1144,Aquarius,6.87,1.3421,23.36271
HIP 1145,Cassiopeia,7.91,15.70302,66.79853
HIP 1146,Pegasus,3.04,13.72651,54.23222
HIP 1147,Orion,2.63,22.64829,-73.42004
HIP 1148,Ursa Major,6.69,0.86546,66.20802
HIP 1149,Aquarius,3.23,21.17483,54.97444
HIP 1150,Ursa Major,1.49,9.43555,55.34506
HIP 1151,Orion,4.77,10.28404,71.92365
HIP 1152,Draco,7.68,21.62746,81.58148
HIP 1153,Lyra,1.42,10.65568,-84.00065
HIP 1154,Cygnus,3.28,13.78489,-57.5073
HIP 1155,Ursa Major,4.54,14.97329,-79.04458
HIP 1156,Andromeda,6.62,22.11296,67.2526
HIP 1157,Lyra,5.17,19.92579,70.74691
HIP 1158,Ursa Major,3,8.68324,21.86959
HIP 1159,Orion,5.03,19.23869,-10.55533
HIP 1160,Cassiopeia,3.42,15.59953,60.74579
HIP 1161,Cygnus,6.3,13.11713,-12.63606
HIP 1162,Draco,1.53,6.07275,0.24774
HIP 1163,Cassiopeia,5.82,20.30405,-75.67869
HIP 1164,Cygnus,2.93,0.11534,20.34528
HIP 1165,Andromeda,2.53,14.29607,38.80248
HIP 1166,Aquarius,5.03,19.32895,-61.31872
HIP 1167,Lyra,7.82,7.55519,-46.75251
HIP 1168,Pegasus,6.82,4.37039,54.45608
HIP 1169,Aquarius,7.52,2.96617,-33.34538
HIP 1170,Taurus,4.6,9.85356,18.8471
HIP 1171,Leo,6.71,14.58327,0.08906
HIP 1172,Ursa Major,1.34,7.323,-74.58905
HIP 1173,Ursa Major,6.76,3.16534,79.64559
HIP 1174,Taurus,2.69,8.85806,35.6478
HIP 1175,Cygnus,3.32,14.35827,48.26737
HIP 1176,Cygnus,4,15.09581,-26.56444
HIP 1177,Ursa Major,6.13,8.02274,-69.10202
HIP 1178,Cygnus,6.47,14.23895,45.36146
HIP 1179,Aquarius,5.48,0.91071,-50.79977
HIP 1180,Ursa Major,5.25,0.04459,-14.27701
HIP 1181,Cygnus,2.95,8.14898,29.36313
HIP 1182,Taurus,2.75,0.10569,-32.45328
HIP 1183,Cygnus,1.61,22.45942,11.49704
HIP 1184,Taurus,3.1,22.23515,74.67012
HIP 1185,Cygnus,3.19,1.17941,31.0959
HIP 1186,Orion,6.91,18.20262,-26.43113
HIP 1187,Orion,4.3,11.07151,-85.83697
HIP 1188,Lyra,5.66,13.76605,-27.22125
HIP 1189,Ursa Major,4.49,19.62656,71.8243
HIP 1190,Lyra,6.02,17.78676,-37.05489
HIP 1191,Lyra,1.38,2.79262,-39.48484
HIP 1192,Draco,3.63,20.4189,-68.73405
HIP 1193,Andromeda,5.42,11.4112,-65.34142
HIP 1194,Cassiopeia,7.73,17.59363,-35.13895
HIP 1195,Pegasus,1.68,4.46557,-81.196
HIP 1196,Leo,5.56,5.65751,62.44797
HIP 1197,Taurus,7.3,5.1198,4.58554
HIP 1198,Scorpius,5.39,15.84041,64.68369
HIP 1199,Cassiopeia,3.18,17.90039,-75.57205
HIP 1200,Cygnus,2.03,19.02186,-61.89117
HIP 1201,Orion,5.51,17.7977,17.15483
HIP 1202,Andromeda,3.65,13.50512,-19.9376
HIP 1203,Lyra,1.46,18.19282,45.97356
HIP 1204,Andromeda,5.01,19.00254,48.66098
HIP 1205,Orion,1.41,17.23692,-5.93755
HIP 1206,Draco,2.64,2.00702,40.27491
HIP 1207,Aquarius,6.28,1.42244,60.24185
HIP 1208,Scorpius,2.25,10.60093,-70.07264
HIP 1209,Draco,2.36,18.44548,-63.07813
HIP 1210,Cygnus,3.49,3.53973,13.18088
HIP 1211,Ursa Major,6.49,1.5152,-14.73721
HIP 1212,Aquarius,5.68,7.94983,31.82512
HIP 1213,Pegasus,5.21,23.87562,-50.59444
HIP 1214,Ursa Major,6.33,22.40975,-70.52451
HIP 1215,Andromeda,4.12,4.57585,-36.69213
HIP 1216,Leo,4.43,3.15813,28.35433
HIP 1217,Taurus,6.89,14.7082,53.10945
HIP 1218,Lyra,2.52,14.59233,4.77715
HIP 1219,Scorpius,7.72,1.80405,62.40078
HIP 1220,Taurus,6.67,16.494,19.40723
HIP 1221,Leo,4.8,15.78189,-78.52393
HIP 1222,Ursa Major,3.97,21.55805,-73.52233
HIP 1223,Aquarius,6.38,15.02573,33.44481
HIP 1224,Taurus,4.98,17.41806,-25.36665
HIP 1225,Cygnus,7.38,22.24723,1.34016
HIP 1226,Cygnus,3.71,0.11024,-41.24238
HIP 1227,Taurus,4.52,17.52315,35.12507
HIP 1228,Scorpius,7.73,10.54785,87.39507
HIP 1229,Cygnus,4.66,22.12613,-43.44415
HIP 1230,Cassiopeia,2.81,20.55254,40.034
HIP 1231,Ursa Major,3.58,10.47815,3.77795
HIP 1232,Scorpius,7.22,3.5299,86.98954
HIP 1233,Scorpius,6.43,3.97562,-4.98089
HIP 1234,Lyra,2.96,4.67077,-82.87879
HIP 1235,Pegasus,2.32,18.0106,-75.08669
HIP 1236,Lyra,3.85,10.0198,-28.36189
HIP 1237,Cygnus,7.92,21.22985,53.12507
HIP 1238,Scorpius,5.78,5.63153,16.98246
HIP 1239,Cygnus,3.15,5.68554,-29.62577
HIP 1240,Ursa Major,5.9,5.41428,49.3461
HIP 1241,Scorpius,6.81,8.99178,36.77248
HIP 1242,Pegasus,6.19,22.07947,-89.75742
HIP 1243,Leo,2.24,22.50082,-6.98489
HIP 1244,Cygnus,6.62,0.88429,-46.37018
HIP 1245,Andromeda,6.38,1.8049,21.20929
HIP 1246,Orion,4.26,15.59683,27.11233
HIP 1247,Ursa Major,1.68,12.60332,1.80042
HIP 1248,Andromeda,1.28,0.14342,12.5868
HIP 1249,Andromeda,7.27,11.79822,30.70203
HIP 1250,Ursa Major,7.37,2.48245,42.76862
HIP 1251,Aquarius,5.02,19.52866,29.77201
HIP 1252,Andromeda,4.21,13.32961,23.10143
HIP 1253,Draco,5.32,1.84848,72.07222
HIP 1254,Pegasus,5.96,15.10503,29.71655
HIP 1255,Scorpius,6.89,4.54907,66.56735
HIP 1256,Pegasus,2.95,21.56888,-75.47356
HIP 1257,Andromeda,6.51,23.72648,-46.74132
HIP 1258,Ursa Major,5,2.25578,-27.11997
HIP 1259,Lyra,7.25,1.12394,49.10879
HIP 1260,Taurus,3.66,22.66376,48.08389
HIP 1261,Scorpius,4.78,3.22639,-74.16862
HIP 1262,Taurus,5.95,21.68881,2.42316
HIP 1263,Leo,4.03,15.32444,71.27119
HIP 1264,Leo,7.84,0.41577,-58.57829
HIP 1265,Andromeda,3.08,8.88545,56.19882
HIP 1266,Pegasus,3.66,9.42661,66.76393
HIP 1267,Orion,3.58,15.17458,2.24718
HIP 1268,Andromeda,3.52,6.79375,42.99265
HIP 1269,Draco,7.8,12.02967,79.34368
HIP 1270,Scorpius,3.23,17.87689,-12.58717
HIP 1271,Pegasus,2.74,15.89916,40.4034
HIP 1272,Cassiopeia,2.63,21.55337,25.56054
HIP 1273,Taurus,7.83,0.87704,62.81112
HIP 1274,Leo,7.75,15.56212,-17.36223
HIP 1275,Ursa Major,6.04,13.52444,-47.73497
HIP 1276,Cassiopeia,7.83,16.37596,-31.32746
HIP 1277,Cassiopeia,6.09,22.01486,11.25605
HIP 1278,Draco,1.07,2.58,0.6333
HIP 1279,Aquarius,3.22,13.80948,-3.76039
HIP 1280,Cassiopeia,3.56,6.66462,10.35834
HIP 1281,Leo,2.74,18.89,-69.4114
HIP 1282,Cassiopeia,2.94,2.77715,-72.86775
HIP 1283,Taurus,7.41,20.18287,74.09375
HIP 1284,Orion,7.9,2.16592,-63.56618
HIP 1285,Aquarius,5.41,11.56781,-34.70988
HIP 1286,Pegasus,6.9,5.38713,63.15715
HIP 1287,Ursa Major,4.39,1.36766,59.88833
HIP 1288,Leo,4.02,2.24512,70.62728
HIP 1289,Orion,6.14,17.71968,-70.05132
HIP 1290,Pegasus,5.02,10.88312,-53.72979
HIP 1291,Taurus,6.85,12.52189,-74.8396
HIP 1292,Scorpius,7.12,21.1131,4.91097
HIP 1293,Draco,3.43,14.01407,46.7433
HIP 1294,Draco,2.73,15.99037,-59.96831
HIP 1295,Taurus,6.72,17.08828,23.32471
HIP 1296,Ursa Major,5.45,20.05935,-75.3148
HIP 1297,Orion,6.38,19.18173,38.88874
HIP 1298,Orion,4.81,8.92848,40.56083
HIP 1299,Ursa Major,6.01,7.00208,84.77282
HIP 1300,Aquarius,7.48,1.9642,-13.43819
HIP 1301,Leo,6.82,5.42951,-63.09631
HIP 1302,Andromeda,4.77,2.47516,-67.95466
HIP 1303,Ursa Major,2.77,9.48145,31.28032
HIP 1304,Scorpius,4.79,12.83172,-22.37781
HIP 1305,Andromeda,6.28,13.52658,32.00744
HIP 1306,Cassiopeia,6.58,14.47789,-22.18762
HIP 1307,Cygnus,1.63,3.34882,85.36608
HIP 1308,Cygnus,6.14,0.76326,59.64927
HIP 1309,Ursa Major,6.01,3.61057,-64.22366
HIP 1310,Andromeda,2.05,14.04539,36.31879
HIP 1311,Draco,5.79,8.93854,-23.94459
HIP 1312,Cassiopeia,6.55,17.35439,-12.89188
HIP 1313,Andromeda,7.75,17.66519,32.94583
HIP 1314,Andromeda,1.61,22.04342,-20.49946
HIP 1315,Scorpius,6.07,0.78358,77.8759
HIP 1316,Cygnus,1.11,6.87761,72.26943
HIP 1317,Cygnus,7.52,5.40442,-16.22528
HIP 1318,Ursa Major,3.21,23.94792,-62.09723
HIP 1319,Andromeda,2.55,4.74383,-13.5373
HIP 1320,Cassiopeia,2.81,17.2591,29.22835
HIP 1321,Cassiopeia,1.34,12.9992,31.77693
HIP 1322,Lyra,3.1,4.83802,29.89273
HIP 1323,Leo,2.15,14.60891,55.19777
HIP 1324,Scorpius,4.9,4.1336,78.83985
HIP 1325,Leo,1.14,11.41592,-29.05039
HIP 1326,Orion,4,23.9907,-30.73672
HIP 1327,Lyra,1.73,17.21181,-32.61351
HIP 1328,Andromeda,1.35,22.08716,-41.63305
HIP 1329,Lyra,1.84,22.86746,-42.44196
HIP 1330,Cygnus,4.62,23.66533,-61.03994
HIP 1331,Pegasus,5.26,13.74109,38.53307
HIP 1332,Pegasus,6.34,17.86064,-59.2762
HIP 1333,Orion,3,11.42291,-7.40749
HIP 1334,Scorpius,2.98,15.3319,-19.83963
HIP 1335,Scorpius,2.81,2.06913,76.00507
HIP 1336,Orion,7.77,12.57949,24.03823
HIP 1337,Orion,1.44,14.80695,57.86883
HIP 1338,Andromeda,3.77,19.70204,-74.81931
HIP 1339,Draco,2.6,23.792,15.3923
HIP 1340,Draco,2.64,6.83115,80.83929
HIP 1341,Ursa Major,1.66,21.24184,88.94268
HIP 1342,Cygnus,2.46,23.67082,-47.9733
HIP 1343,Aquarius,7.12,11.74804,55.54779
HIP 1344,Orion,2.91,8.51151,-0.8662
HIP 1345,Ursa Major,7.22,20.12623,48.48352
HIP 1346,Ursa Major,5.99,15.02237,66.52546
HIP 1347,Leo,6.66,5.4218,-52.09763
HIP 1348,Scorpius,4.89,21.87995,60.81271
HIP 1349,Leo,5.54,9.39762,-62.06041
HIP 1350,Cygnus,7.32,5.24626,-71.80275
HIP 1351,Draco,7.82,0.11284,44.63097
HIP 1352,Draco,6.63,2.78019,85.30038
HIP 1353,Leo,5.84,15.2655,-78.06558
HIP 1354,Orion,7.43,13.56683,34.96278
HIP 1355,Orion,1.36,13.70652,30.71705
HIP 1356,Cygnus,7.94,11.80427,76.00912
HIP 1357,Cassiopeia,3.3,13.06993,43.29658
HIP 1358,Orion,2.06,23.52405,-43.5466
HIP 1359,Andromeda,1.9,17.51822,73.83035
HIP 1360,Draco,3.66,20.52865,36.96782
HIP 1361,Cygnus,4.02,20.13026,30.61394
HIP 1362,Ursa Major,3.42,22.62171,-8.43939
HIP 1363,Cassiopeia,1.99,17.31284,-47.20769
HIP 1364,Cygnus,6.99,9.85618,-6.26357
HIP 1365,Cassiopeia,2.56,12.09964,53.67231
HIP 1366,Cygnus,6,5.39625,19.36195
HIP 1367,Ursa Major,7.03,17.51694,-75.95788
HIP 1368,Aquarius,1.01,9.55613,-72.25656
HIP 1369,Cygnus,7.59,15.14613,65.75443
HIP 1370,Leo,2.57,21.75947,-68.30732
HIP 1371,Taurus,2.19,11.80975,87.81038
HIP 1372,Aquarius,4.69,21.68514,-76.67708
HIP 1373,Scorpius,6.15,22.6709,24.53136
HIP 1374,Taurus,7.53,20.0682,64.14165
HIP 1375,Aquarius,2.31,18.19495,35.09985
HIP 1376,Cassiopeia,1.78,8.5966,38.79446
HIP 1377,Leo,5.88,20.19794,10.89746
HIP 1378,Lyra,2.24,0.26546,7.9044
HIP 1379,Aquarius,3.07,0.89968,-15.97364
HIP 1380,Taurus,5.71,2.52605,80.81712
HIP 1381,Cygnus,6.09,19.06652,-51.83352
HIP 1382,Cygnus,5.73,0.74581,-81.78812
HIP 1383,Pegasus,3.48,3.4331,47.53253
HIP 1384,Lyra,7.14,14.62766,75.45289
HIP 1385,Scorpius,5.21,8.83668,-65.98227
HIP 1386,Aquarius,1.92,14.9787,-73.81358
HIP 1387,Leo,7.89,18.91715,-65.83488
HIP 1388,Orion,7.01,6.92043,35.19196
HIP 1389,Taurus,3.26,8.98887,56.46409
HIP 1390,Lyra,1.23,17.84704,20.39281
HIP 1391,Taurus,7.19,5.96474,-34.55857
HIP 1392,Draco,1.3,12.05006,-36.00071
HIP 1393,Pegasus,4.12,7.10555,3.06848
HIP 1394,Orion,6.81,5.60856,64.46887
HIP 1395,Scorpius,5.6,14.98267,45.14868
HIP 1396,Ursa Major,6.97,12.02183,-5.13086
HIP 1397,Cygnus,7.2,7.21249,87.23855
HIP 1398,Draco,7.39,17.07921,-67.12424
HIP 1399,Ursa Major,6.68,0.07512,9.23989
HIP 1400,Lyra,7.6,21.73538,-60.84716
HIP 1401,Pegasus,5.2,16.38243,-23.80218
HIP 1402,Cassiopeia,3.46,15.64008,85.18373
HIP 1403,Ursa Major,6.08,16.78083,-12.9113
HIP 1404,Cygnus,3.42,17.67288,-46.75184
HIP 1405,Andromeda,4.31,19.90692,-28.45587
HIP 1406,Cassiopeia,2.41,20.89108,-76.86861
HIP 1407,Cassiopeia,4.34,11.32663,29.95927
HIP 1408,Cassiopeia,5.14,1.90095,-47.90194
HIP 1409,Orion,2.31,0.11726,-88.66477
HIP 1410,Aquarius,6.59,10.42652,-89.44313
HIP 1411,Orion,2.26,1.24549,-76.10115
HIP 1412,Cygnus,6.14,20.41779,-72.61611
HIP 1413,Andromeda,7.15,13.74347,86.95646
HIP 1414,Cygnus,7.71,17.55848,71.0469
HIP 1415,Cassiopeia,7.85,18.21253,28.68113
HIP 1416,Orion,5.28,11.24161,10.03133
HIP 1417,Cassiopeia,3.96,8.82114,53.68311
HIP 1418,Aquarius,1.87,8.3545,7.61109
HIP 1419,Taurus,1.73,21.93986,-44.49576
HIP 1420,Cygnus,3.28,10.24986,-33.8385
HIP 1421,Andromeda,4.81,18.93513,30.81086
HIP 1422,Cassiopeia,2.15,14.41471,-67.22139
HIP 1423,Andromeda,1.63,21.73268,-12.99517
HIP 1424,Leo,2.82,12.76203,-86.80198
HIP 1425,Aquarius,6.67,21.23774,54.42211
HIP 1426,Taurus,5.05,9.09901,-46.31828
HIP 1427,Aquarius,5.99,19.59202,4.51965
HIP 1428,Taurus,2.1,8.4634,2.46315
HIP 1429,Andromeda,7.16,6.9961,40.13397
HIP 1430,Taurus,1.24,10.08375,44.72993
HIP 1431,Taurus,2.41,18.41253,14.3123
HIP 1432,Andromeda,2.63,16.61437,25.01375
HIP 1433,Orion,3.58,12.54349,-11.96342
HIP 1434,Orion,4.35,20.7872,66.64118
HIP 1435,Lyra,6.07,7.6552,4.80739
HIP 1436,Cygnus,3.41,13.94335,-57.4856
HIP 1437,Andromeda,7.65,14.17577,51.78304
HIP 1438,Leo,1.06,4.76294,64.42087
HIP 1439,Taurus,3.24,8.80009,-61.13576
HIP 1440,Leo,2.59,20.01241,63.36636
HIP 1441,Draco,4.6,2.25399,59.03659
HIP 1442,Cygnus,7.18,8.01057,11.39489
HIP 1443,Draco,2.54,22.675,45.16966
HIP 1444,Leo,4.78,4.15223,13.71901
HIP 1445,Orion,7.88,20.76141,30.48453
HIP 1446,Ursa Major,4.69,7.5405,36.9257
HIP 1447,Andromeda,1.79,18.44054,86.3306
HIP 1448,Orion,6.36,16.13357,75.35582
HIP 1449,Scorpius,6.12,23.69997,-20.69476
HIP 1450,Aquarius,4.3,15.94519,59.21434
HIP 1451,Scorpius,5.72,9.60378,26.41523
HIP 1452,Cassiopeia,6.6,10.98602,39.94189
HIP 1453,Andromeda,2.83,4.40749,-7.38863
HIP 1454,Draco,5.17,0.21086,-52.45122
HIP 1455,Orion,1.8,18.56997,-1.24376
HIP 1456,Draco,3.6,1.94978,-45.78066
HIP 1457,Draco,7.15,3.26954,-30.27603
HIP 1458,Cygnus,7.76,20.79184,-39.29599
HIP 1459,Taurus,3.66,19.57878,-77.08522
HIP 1460,Taurus,1.49,14.25305,79.39251
HIP 1461,Taurus,1.53,18.12718,60.88646
HIP 1462,Ursa Major,4.22,15.16413,-15.38413
HIP 1463,Orion,2.86,23.10184,-61.0364
HIP 1464,Lyra,2.97,8.06136,-34.32077
HIP 1465,Cygnus,1.51,21.89683,-32.17974
HIP 1466,Cygnus,6.42,2.06203,-44.37038
HIP 1467,Andromeda,1.45,20.66185,43.45456
HIP 1468,Scorpius,3.79,4.61406,-14.03946
HIP 1469,Ursa Major,4.97,17.94665,-8.98224
HIP 1470,Lyra,7.33,23.61623,36.28262
HIP 1471,Cygnus,1.81,6.97494,-50.51248
HIP 1472,Ursa Major,7.39,21.92601,21.01311
HIP 1473,Lyra,2.01,15.71418,-42.61831
HIP 1474,Leo,7.92,16.16732,-16.91649
HIP 1475,Ursa Major,5.45,2.34737,88.67902
HIP 1476,Lyra,6.82,6.29483,-17.55427
HIP 1477,Cassiopeia,7.07,23.82992,-37.06965
HIP 1478,Andromeda,6.85,2.72878,23.15015
HIP 1479,Draco,5.23,1.04324,-4.5021
HIP 1480,Lyra,5.14,23.87617,39.04824
HIP 1481,Andromeda,3.76,6.60972,-35.95128
HIP 1482,Lyra,6.52,19.07351,-4.16511
HIP 1483,Leo,5.86,21.38392,-46.44063
HIP 1484,Orion,3.01,7.85108,28.99009
HIP 1485,Cassiopeia,1.13,19.3081,-30.14331
HIP 1486,Andromeda,6.35,15.79149,20.88441
HIP 1487,Ursa Major,5.52,22.77338,61.75993
HIP 1488,Draco,7.87,2.95581,58.30624
HIP 1489,Cygnus,7.03,22.66926,58.31244
HIP 1490,Draco,1.29,8.45703,-81.71358
HIP 1491,Ursa Major,1.13,22.19982,-81.14384
HIP 1492,Andromeda,5.85,11.56226,84.9897
HIP 1493,Orion,7.21,20.02742,74.93883
HIP 1494,Lyra,1.21,20.90584,0.32384
HIP 1495,Ursa Major,6.86,18.38007,-13.87962
HIP 1496,Pegasus,7.99,18.47076,-27.63008
HIP 1497,Ursa Major,2.76,3.88219,37.22898
HIP 1498,Ursa Major,2.72,8.18576,33.07859
HIP 1499,Leo,2.71,5.07204,-51.63433
HIP 1500,Andromeda,1.6,3.56696,84.69067
HIP 1501,Cassiopeia,6.89,19.28706,-38.50889
HIP 1502,Taurus,4.15,5.78552,-5.13167
HIP 1503,Scorpius,6.35,16.5036,-6.54165
HIP 1504,Cassiopeia,3.65,16.47609,20.38783
HIP 1505,Pegasus,2.64,11.37313,-47.70909
HIP 1506,Ursa Major,2.35,3.05169,56.15756
HIP 1507,Andromeda,2.87,10.47227,20.871
HIP 1508,Taurus,4.63,22.06909,-88.02227
HIP 1509,Scorpius,4.02,12.73503,14.84129
HIP 1510,Taurus,4.03,16.30006,-48.5815
HIP 1511,Lyra,7.53,13.8078,-20.46732
HIP 1512,Leo,4.9,21.64395,-60.33067
HIP 1513,Pegasus,3.84,3.19623,-58.83672
HIP 1514,Cassiopeia,6.08,8.19498,44.75446
HIP 1515,Scorpius,2.94,2.21835,-46.51853
HIP 1516,Ursa Major,1.64,7.6067,-79.74648
